CLUB,PLAYERS,NICKNAME,AGENTS,PROFIT/LOSS,RAKE, DEAL,RAKEBACK,ADJUSTMENT,AGENT SETTLEMENT,DATE
FIVE CARDS,678578,GameOverMan,EMoney,2691.226379,403.2587736,0.725,292.3626109,0,2983.58899,25/12/22
FIVE CARDS,678580,BishopL,EMoney,-816.7277285,416.4866949,0.725,301.9528538,0,-514.7748747,25/12/22
FIVE CARDS,693837,ScarletWitch,Ferrranito,121.9629772,47.99460085,0.725,34.79608562,0,156.7590629,25/12/22
KOBERGS,1997281,magnusboss,Ferrranito,0,0,0.65,0,0,0,25/12/22
KOBERGS,1994065,Marinette,Ferrranito,184.6,17.4,0.65,11.31,-29.3865,166.5235,25/12/22
KOBERGS,1993052,adrienblack,Ferrranito,0,0,0.65,0,0,0,25/12/22
KOBERGS,1927289,Ferrranito,Ferrranito,0,0,0.65,0,0,0,25/12/22
LEFTY2.0,1996002,KeyAyDee,Ferrranito,0,0,0.7,0,0,0,25/12/22
LEFTY2.0,1929312,shameless22,Ferrranito,849.43,99.32,0.7,69.524,-137.8431,781.1109,25/12/22
LEGENDSOFLEFTY,1927327,RL9vamos,Ferrranito,1886.07,116.78,0.6,70.068,-195.6138,1760.5242,25/12/22
LEGENDSOFLEFTY,1927289,Ferrranito,Ferrranito,0,0,0.6,0,0,0,25/12/22
LEGENDSOFLEFTY,1957959,Ilikesweets,Ferrranito,-2340.09,600.37,0.6,360.222,197.9868,-1781.8812,25/12/22
LEGENDSOFLEFTY,1992932,malucia,Ferrranito,6303.94,50.09,0.6,30.054,-633.3994,5700.5946,25/12/22
LEGENDSOFLEFTY,1993052,adrienblack,Ferrranito,1493.95,38.88,0.6,23.328,-151.7278,1365.5502,25/12/22
LEGENDSOFLEFTY,1994065,Marinette,Ferrranito,-23.21,3.71,0.6,2.226,2.0984,-18.8856,25/12/22
LEGENDSOFLEFTY,1994152,abbyhutcher,Ferrranito,-678,47.25,0.6,28.35,64.965,-584.685,25/12/22
LEGENDSOFLEFTY,1996002,KeyAyDee,Ferrranito,-263.33,89.6,0.6,53.76,20.957,-188.613,25/12/22
LEGENDSOFLEFTY,1997249,BekimBalaj,Ferrranito,3546.65,346.35,0.6,207.81,-375.446,3379.014,25/12/22
LEGENDSOFLEFTY,1997259,koreanz0mbie,Ferrranito,1315.51,394.08,0.6,236.448,-155.1958,1396.7622,25/12/22
LEGENDSOFLEFTY,1997266,bomboombom,Ferrranito,1795.47,419.66,0.6,251.796,-204.7266,1842.5394,25/12/22
LEGENDSOFLEFTY,1997274,caruzo112,Ferrranito,-604.87,502.39,0.6,301.434,30.3436,-273.0924,25/12/22
LEGENDSOFLEFTY,1997279,kevinalone,Ferrranito,-1645.06,427.25,0.6,256.35,138.871,-1249.839,25/12/22
LEGENDSOFLEFTY,1998978,Poker1998978,Ferrranito,13.77,4.59,0.6,2.754,-1.6524,14.8716,25/12/22
LEGENDSOFLEFTY,1998996,BabyFace777,Ferrranito,-97.94,30.16,0.6,18.096,7.9844,-71.8596,25/12/22
LEGENDSOFLEFTY,1999005,Gt_river_,Ferrranito,32.99,25.61,0.6,15.366,-4.8356,43.5204,25/12/22
LEGENDSOFLEFTY,1999491,Raagna,Ferrranito,207.96,22.87,0.6,13.722,-22.1682,199.5138,25/12/22
LEGENDSOFLEFTY,1999493,wazzza,Ferrranito,86.99,21.82,0.6,13.092,-10.0082,90.0738,25/12/22
RUNNINGHOT,1994065,Marinette,Ferrranito,0,0,0.65,0,0,0,25/12/22
RUNNINGHOT,1993052,adrienblack,Ferrranito,0,0,0.65,0,0,0,25/12/22
RUNNINGHOT,1944175,uglymonkey,Ferrranito,0,0,0.65,0,0,0,25/12/22
RUNNINGHOT,1927289,Ferrranito,Ferrranito,0,0,0.65,0,0,0,25/12/22
THEDENETIAN,1996002,KeyAyDee,Ferrranito,0.55,0.04,0.6,0.024,0,0.574,25/12/22
THEDENETIAN,1998978,Poker1998978,Ferrranito,37.18,4.82,0.6,2.892,0,40.072,25/12/22
THEDENETIAN,1998996,BabyFace777,Ferrranito,0,0,0.6,0,0,0,25/12/22
THEDENETIAN,1999005,Gt_river_,Ferrranito,0,0,0.6,0,0,0,25/12/22
THEDENETIAN,1927339,alwayslucky5,Ferrranito,-197.79,185.74,0.6,111.444,0,-86.346,25/12/22
THEDENETIAN,1927289,Ferrranito,Ferrranito,480.99,144.99,0.6,86.994,0,567.984,25/12/22
THEDENETIAN,1957959,Ilikesweets,Ferrranito,-137.9,32.76,0.6,19.656,0,-118.244,25/12/22
TURKEYTIME,null,DrVanNostrad,Ferranito,2434.875958,1296.471682,0.725,939.9419694,-101.2445378,3273.57339,25/12/22